star,title,quote,num,link,article
8.6,"

    一加一


    
      ,

  ","♢ 一个单亲妈妈
两份工作，两个孩子，一家子的温饱。杰西每天得忙像陀螺才不至于叫生活崩溃。可她精打细算反被生活算计，为了支付女儿的学费不得不铤而走险…
♢ ... ","
        (154人评价)
    ",https://book.douban.com/subject/26756565/,"
        
  
  [英]乔乔·莫伊斯 / 张源 / 广西科学技术出版社 / 2016-8 / 38.00

      "
8.4,"

    精灵宝钻


    
      ,

  ",本书在它的作者去世四年之后出版。这部书描绘了上古时期，或者说“第一纪”时的情景。魔戒叙述的是第三纪末期发生的重大事件，《精灵宝钻》的故事则可以追溯到久远的过... ,"
        (1932人评价)
    ",https://book.douban.com/subject/1063401/,"
        
  
  托尔金 / 李尧 / 译林出版社 / 2004-05 / 21.3

      "
8.9,"

    王尔德全集


    

  ",,"
        (742人评价)
    ",https://book.douban.com/subject/1000251/,"
        
  
  [英] 奥斯卡·王尔德 / 杨烈、黄杲炘 / 中国文学出版社 / 2000-9 / 198.00

      "
8.6,"

    一千零一夜


    

  ","《一千零一夜》又名《天方夜谭》。""天方""是从前中国对阿拉伯的称呼。这本书中的故事，多是阿拉伯地区国家的传说。 公元9世纪时，是阿拉伯帝国的全盛时期，它横跨亚... ","
        (16258人评价)
    ",https://book.douban.com/subject/1035848/,"
        
  
  纳训 / 人民文学出版社 / 2003-01 / 22.0

      "
9.2,"

    老妇还乡


    
      ,

  ",《老妇还乡》是作者的成名作，描写亿万富婆莱尔四十五年后返回故乡居伦小城，要用十亿捐款取她当年恋人伊尔的人头，因为伊尔抛弃了她，曾使她沦为妓女。她的要求起初遭... ,"
        (627人评价)
    ",https://book.douban.com/subject/1047325/,"
        
  
  [瑞士] 迪伦马特 / 叶廷芳、韩瑞祥 / 外国文学出版社 / 2002-6 / 22.00元

      "
7.7,"

    第十三个故事


    

  ",从小在父亲的古旧书店帮忙的姑娘玛格丽特，爱好读经典小说和传记。一天，她突然收到著名女作家维达·温特的来信。温特性格古怪而低调，常常编造自己的各种离奇故事糊弄... ,"
        (5186人评价)
    ",https://book.douban.com/subject/3055316/,"
        
  
  [英] 戴安娜·赛特菲尔德 / 金逸明 / 人民文学出版社 / 2008-5 / 28.00元

      "
9.0,"

    七夜


    

  ",博尔赫斯技巧精湛的写作背后，支撑着的是庞杂浩瀚的阅读量和毕生埋首的治学热情，他的非虚构作品充满了各式各样天马行空的文学动机。本书为演讲集，一九八〇年出版，收... ,"
        (326人评价)
    ",https://book.douban.com/subject/26270304/,"
        
  
  [阿根廷] 博尔赫斯 / 陈泉 / 上海译文出版社 / 2015-7 / 28.00

      "
8.9,"

    过于喧嚣的孤独


    

  ",包括：河畔小城； 一缕秀发；甜甜的忧伤；哈乐根的数百万；我曾侍候过英国国王…… ,"
        (885人评价)
    ",https://book.douban.com/subject/4285240/,"
        
  
  博·赫拉巴尔 / 杨乐云 / 中国青年出版社 / 2009-11 / 66.00元

      "
8.5,"

    老无所依


    

  ",普利策小说奖得主科马克·麦卡锡的转型之作。故事发生在上世纪80年代得克萨斯州西南部的美墨边境，围绕三个人物（莫斯、苏格和贝尔）展开。猎手莫斯是一个越战老兵，... ,"
        (589人评价)
    ",https://book.douban.com/subject/6833935/,"
        
  
  (美)科马克·麦卡锡 / 曹元勇 / 上海译文出版社 / 2012-8 / 35.00元

      "
8.6,"

    幽灵之家


    
      ,

  ",这是一部气度恢宏的全景式小说。它以30万字的篇幅展现了一个拉丁美洲国家从本世纪初到1973年为止风云变幻的历史。以埃斯特万·特鲁埃瓦家族的兴衰变化为中心线索... ,"
        (1451人评价)
    ",https://book.douban.com/subject/2061444/,"
        
  
  (智利)伊莎贝尔·阿连德 / 刘习良、笋季英 / 译林出版社 / 2007-4 / 28.00

      "
7.7,"

    恶时辰


    

  ","★马尔克斯唯一正式授权，首次出版
★我所满意的是描写孤独的书，《恶时辰》里你又一次感受到这种悲剧氛围，就是权力的孤独。——加西亚·马尔克斯
《恶时辰》是马尔... ","
        (3227人评价)
    ",https://book.douban.com/subject/20392524/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 刘习良、笋季英 / 南海出版公司 / 2013-3 / 29.50元

      "
8.2,"

    爱，始于冬季


    

  ",《爱，始于冬季》中的人物都站在放弃的边缘——他们沉浸在永远无法成真的梦想，怀念那些早已从他们生活中消失的人——范•布伊笔下的人物游走在这些凄美故事中的街头，... ,"
        (1414人评价)
    ",https://book.douban.com/subject/6003394/,"
        
  
  [英] 西蒙·范·布伊 / 刘文韵 / 人民文学出版社 / 2011-4 / 20.00元

      "
8.1,"

    我在雨中等你


    

  ",我叫恩佐。我老以为自己是人，也一直觉得我和其他狗不一样。我只是被塞进狗的身体，里面的灵魂才是真实的我。这里记录着我和主人丹尼相依度过的风雨悲欢：当妻子凄凉死... ,"
        (6294人评价)
    ",https://book.douban.com/subject/3302645/,"
        
  
  [美] 加思·斯坦 / 林说俐 / 南海出版公司 / 2008-11 / 25.00

      "
8.1,"

    廊桥遗梦


    

  ",廊桥书系，这是以反映现当代外国文学现状、发展和成就为宗旨的一套丛书。其特点为：一．选取代表欧美主流文学的获奖作品，如：2001年英国最大文学奖项布克奖获奖图... ,"
        (4604人评价)
    ",https://book.douban.com/subject/1011702/,"
        
  
  （美）罗伯特・沃勒 / 梅嘉 / 人民文学出版社 / 2004-01 / 10.00

      "
8.6,"

    一个青年艺术家的画像


    

  ",《一个青年艺术家的画像(精)》主要讲述了：这是乔伊斯第一次运用意识流手法写就的长篇小说。它宣告了一个文学新时代的到来。读完《尤利西斯》，或许需要某种勇气，而... ,"
        (708人评价)
    ",https://book.douban.com/subject/3898308/,"
        
  
  [爱尔兰] 詹姆斯·乔伊斯 / 李靖民 / 浙江文艺出版社 / 2009-6 / 28.00元

      "
8.3,"

    丹麦女孩


    

  ","编辑推荐
★《丹麦女孩》感动全球30国读者的灵魂救赎之作！
★《丹麦女孩》是一部关于爱与勇气的书，写给所有敢于追求真爱和活出自我的人。
★席卷《纽约时报》《... ","
        (221人评价)
    ",https://book.douban.com/subject/26861450/,"
        
  
  大卫•埃贝尔舍夫 / 何雨珈 / 南海出版公司 / 2016-10-1 / 39.50

      "
8.0,"

    动荡


    
      ,

  ",偶然在地下室发现的尘封半个世纪之久的日记，促使八十五岁高龄的恩岑斯贝格尔重新串联起他生平所经历的东西方重大历史事件。他在20世纪60年代两次深入探访苏联、古... ,"
        (54人评价)
    ",https://book.douban.com/subject/26938857/,"
        
  
  [德]汉斯·马格努斯·恩岑斯贝格尔 / 姚月 / 江苏凤凰文艺出版社 / 2016-12 / 36.00元

      "
8.4,"

    母与子


    

  ",《母与子》是托宾第一部短篇小说集。所收九个短篇小说均围绕母亲与儿子的关系，捕捉一个转折性时刻，在那一刻，母与之间微妙的平衡被打破，或者他们对彼此的认识发生改... ,"
        (641人评价)
    ",https://book.douban.com/subject/6712398/,"
        
  
  (爱尔兰)科尔姆·托宾 / 柏栎 / 人民文学出版社 / 2011-9 / 25.00元

      "
,"

    冰激凌家族


    

  ","我已经决定好了，今后每一个选择都忠于自己。
·
世界上有两件令人无法拒绝的美好事物：冰激凌和诗歌。
在意大利北部一个小村庄里，塔拉米尼家族已经做了近一百年的... ",,https://book.douban.com/subject/27036566/,"
        
  
  [荷] 恩斯特·凡德奎斯特 / 孙远 / 江苏凤凰文艺出版社 / 2017-8-15 / 42.00

      "
7.8,"

    弗兰肯斯坦


    

  ","玛丽·雪莱（1797-1851），英国著名小说家，因其一八一八年创作的《弗兰肯斯坦》被誉为科幻小说之母。
这个被称为活跳尸的故事多次被改编成戏剧、电影，拥有... ","
        (2056人评价)
    ",https://book.douban.com/subject/2042631/,"
        
  
  [英]玛丽·雪莱 / 刘新民 / 上海译文出版社 / 2007-3 / 10.00元

      "
8.5,"

    风沙星辰


    

  ","这本书是《风沙星辰》和《夜间飞行》的合集，并收录了大量关于作者、作品和《小王子》一书全球畅销的背景资料。
《夜间飞行》是圣艾修伯里的第二部作品；描述的是夜间... ","
        (647人评价)
    ",https://book.douban.com/subject/1048047/,"
        
  
  [法] 安东尼·德·圣艾修伯里 / 艾柯 / 哈尔滨出版社 / 2002-3 / 21.80元

      "
